u_cost_rel,u_consent_rel,u_content_rel,s_cost_rel,s_consent_rel,s_content_rel,score_default,score_binary_2c,score_binary_3c,score_562_2c,score_562_3c,score_532_2c,score_532_3c,score_524_2c,score_524_3c,score_564_2c,score_564_3c,consent_562_2c,consent_532_2c,consent_562_3c,consent_532_3c,cost_562,cost532,
0,0.1,0.9,0,0.1,0.9,1969,9000,9000,9025,9025,9025,9025,9000,9000,9025,9025,personalizedAds identification,personalizedAds,personalizedAds identification,personalizedAds,1,1,
0,0.1,0.9,0,0.2,0.8,1750,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,1,1,
0,0.1,0.9,0,0.3,0.7,1531,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,1,1,
0,0.1,0.9,0,0.4,0.6,1313,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,1,1,
0,0.1,0.9,0,0.5,0.5,1094,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,1,1,
0,0.1,0.9,0,0.6,0.4,875,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,1,1,
0,0.1,0.9,0,0.7,0.3,656,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,1,1,
0,0.1,0.9,0,0.8,0.2,438,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,1,1,
0,0.1,0.9,0,0.9,0.1,219,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,1,1,
0,0.1,0.9,0.1,0.1,0.8,1750,8100,9000,8100,9025,8100,9025,8100,9000,8100,9025,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,personalizedAds identification,personalizedAds,20,20,
0,0.1,0.9,0.1,0.2,0.7,1531,8100,9000,8100,9000,8100,9000,8100,9000,8100,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.1,0.3,0.6,1313,8100,9000,8100,9000,8100,9000,8100,9000,8100,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.1,0.4,0.5,1094,8100,9000,8100,9000,8100,9000,8100,9000,8100,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.1,0.5,0.4,875,8100,9000,8100,9000,8100,9000,8100,9000,8100,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.1,0.6,0.3,656,8100,9000,8100,9000,8100,9000,8100,9000,8100,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.1,0.7,0.2,438,8100,9000,8100,9000,8100,9000,8100,9000,8100,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.1,0.8,0.1,219,8100,9000,8100,9000,8100,9000,8100,9000,8100,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.2,0.1,0.7,1531,7200,9000,7200,9025,7200,9025,7200,9000,7200,9025,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,personalizedAds identification,personalizedAds,20,20,
0,0.1,0.9,0.2,0.2,0.6,1313,7200,9000,7200,9000,7200,9000,7200,9000,7200,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.2,0.3,0.5,1094,7200,9000,7200,9000,7200,9000,7200,9000,7200,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.2,0.4,0.4,875,7200,9000,7200,9000,7200,9000,7200,9000,7200,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.2,0.5,0.3,656,7200,9000,7200,9000,7200,9000,7200,9000,7200,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.2,0.6,0.2,438,7200,9000,7200,9000,7200,9000,7200,9000,7200,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.3,0.1,0.6,1313,6300,9000,6300,9025,6300,9025,6300,9000,6300,9025,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,personalizedAds identification,personalizedAds,20,20,
0,0.1,0.9,0.3,0.2,0.5,1094,6300,9000,6300,9000,6300,9000,6300,9000,6300,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.3,0.3,0.4,875,6300,9000,6300,9000,6300,9000,6300,9000,6300,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.3,0.4,0.3,656,6300,9000,6300,9000,6300,9000,6300,9000,6300,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.3,0.5,0.2,438,6300,9000,6300,9000,6300,9000,6300,9000,6300,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.4,0.1,0.5,1094,5400,9000,5400,9025,5400,9025,5400,9000,5400,9025,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,personalizedAds identification,personalizedAds,20,20,
0,0.1,0.9,0.4,0.2,0.4,875,5400,9000,5400,9000,5400,9000,5400,9000,5400,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.4,0.3,0.3,656,5400,9000,5400,9000,5400,9000,5400,9000,5400,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.4,0.4,0.2,438,5400,9000,5400,9000,5400,9000,5400,9000,5400,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.4,0.5,0.1,219,5400,9000,5400,9000,5400,9000,5400,9000,5400,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.5,0.1,0.4,875,4500,9000,4500,9025,4500,9025,4500,9000,4500,9025,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,personalizedAds identification,personalizedAds,20,20,
0,0.1,0.9,0.5,0.2,0.3,656,4500,9000,4500,9000,4500,9000,4500,9000,4500,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.5,0.3,0.2,438,4500,9000,4500,9000,4500,9000,4500,9000,4500,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.5,0.4,0.1,219,4500,9000,4500,9000,4500,9000,4500,9000,4500,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.6,0.1,0.3,656,3600,9000,3600,9025,3600,9025,3600,9000,3600,9025,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,personalizedAds identification,personalizedAds,20,20,
0,0.1,0.9,0.6,0.2,0.2,438,3600,9000,3600,9000,3600,9000,3600,9000,3600,9000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,20,20,
0,0.1,0.9,0.7,0.1,0.2,438,2700,9000,2700,9025,2700,9025,2700,9000,2700,9025,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,personalizedAds identification,personalizedAds,20,20,
0,0.1,0.9,0.8,0.1,0.1,219,1800,9000,1800,9025,1800,9025,1800,9000,1800,9025,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,personalizedAds identification,personalizedAds,20,20,
0,0.2,0.8,0,0.1,0.9,2250,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,,,,,1,1,
0,0.2,0.8,0,0.2,0.8,2000,8000,8000,8100,8100,8100,8100,8000,8000,8100,8100,personalizedAds identification,personalizedAds,personalizedAds identification,personalizedAds,1,1,
0,0.2,0.8,0,0.3,0.7,1750,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,1,1,
0,0.2,0.8,0,0.4,0.6,1500,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics personalizedAds externalContent,1,1,
